workload,engine,ops_sec,p50_us,p95_us,p99_us,p999_us,mean_us,min_us,max_us,memory_mb,total_ops,success_ops,failed_ops,duration_ms
handler_invocation,Velocity Runtime,622.0,1498,1850,2054,3915,1599,1287,157707,18.1,10000,10000,0,16076
stateful_handler,Velocity Runtime,503.2,1936,2356,2532,4231,1978,1720,4231,18.6,1000,1000,0,1987
concurrent_handlers,Velocity Runtime,698.0,80113,140121,142134,142134,79538,6639,142134,20.4,100,100,0,143
payload_roundtrip,Velocity Runtime,608.3,1524,1947,2235,4894,1635,1318,136869,22.7,5000,5000,0,8219
sustained_load,Velocity Runtime,657.6,68527,121536,237390,924073,73724,5135,1203645,39.6,39502,39502,0,60066
mixed_operations,Velocity Runtime,634.1,1474,1777,1997,5710,1568,1289,109193,45.2,5000,5000,0,7885
cold_start,Velocity Runtime,622.8,1460,1810,1950,1950,1493,1318,1950,45.3,100,100,0,160
durable_promise,Velocity Runtime,513.1,1898,2267,2508,2951,1941,1720,2951,45.4,500,500,0,974
